22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
9.48|308:380|131:406
9.49|308:380|130:384
9.5|308:380|130:384
9.51|306:369|128:373
9.52|306:369|128:373
9.53|304:358|127:362
9.54|304:358|127:362
9.55|300:349|126:351
9.56|300:349|126:351
9.57|300:349|126:351
9.58|297:342|124:340
9.59|297:342|124:340
9.6|297:342|125:339
9.61|297:342|125:339
9.62|295:332|123:328
9.63|295:332|123:328
9.64|293:323|122:318
9.65|293:323|122:318
9.66|290:314|120:307
9.67|290:314|120:307
9.68|286:305|120:295
9.69|286:305|120:295
9.7|282:296|117:284
9.71|282:296|117:284
9.72|282:296|117:284
9.73|278:287|111:274
9.74|278:287|111:274
9.75|278:287|113:273
9.76|278:287|113:273
9.77|277:277|112:263
9.78|277:277|112:263
9.79|273:271|109:253
9.8|273:271|109:253
9.81|273:261|104:246
9.82|273:261|104:246
9.83|273:261|104:246
9.84|272:253|103:238
9.85|272:253|103:238
9.86|272:245|98:231
9.87|272:245|98:231
9.88|271:237|94:223
9.89|271:237|94:223
9.9|271:237|94:223
9.91|271:237|94:223
9.92|270:229|91:215
9.93|270:229|91:215
9.94|270:222|88:207
9.95|270:222|88:207
9.96|269:216|84:200
9.97|269:216|84:200
9.98|269:216|84:200
9.99|268:210|85:193
10|268:210|85:193
