20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
8.14|409:208|635:300
8.15|409:208|635:300
8.16|428:207|635:300
8.17|428:207|636:297
8.18|428:207|636:297
8.19|429:208|636:297
8.2|429:208|638:295
8.21|429:208|638:295
8.22|429:208|638:295
8.23|429:208|638:295
8.24|429:208|638:295
8.25|430:207|638:295
8.26|430:207|637:294
8.27|430:207|637:294
8.28|425:207|637:294
8.29|425:207|637:295
8.3|425:207|637:295
8.31|421:207|637:295
8.32|421:207|637:295
8.33|421:207|637:295
8.34|418:209|637:295
8.35|418:209|637:295
8.36|418:209|637:295
8.37|414:208|637:295
8.38|414:208|636:299
8.39|414:208|636:299
8.4|414:208|636:299
8.41|414:208|636:299
8.42|418:209|636:299
8.43|418:209|636:306
8.44|418:209|636:306
8.45|406:209|636:306
8.46|406:209|630:303
8.47|406:209|630:303
8.48|406:208|630:303
8.49|406:208|634:323
8.5|406:208|634:323
8.51|398:209|634:323
8.52|398:209|632:329
8.53|398:209|632:329
8.54|398:209|632:329
8.55|398:209|632:329
8.56|398:209|632:329
8.57|394:210|632:329
8.58|394:210|631:338
8.59|394:210|631:338
8.6|388:211|631:338
8.61|388:211|626:344
8.62|388:211|626:344
8.63|388:211|626:344
8.64|388:211|624:341
8.65|388:211|624:341
8.66|388:214|624:341
8.67|388:214|620:349
8.68|388:214|620:349
8.69|374:213|620:349
8.7|374:213|610:346
8.71|374:213|610:346
8.72|374:213|610:346
8.73|374:213|610:346
8.74|373:214|610:346
8.75|373:214|601:343
8.76|373:214|601:343
8.77|363:214|601:343
8.78|363:214|593:342
8.79|363:214|593:342
8.8|356:217|593:342
8.81|356:217|590:355
8.82|356:217|590:355
8.83|351:214|590:355
8.84|351:214|579:351
8.85|351:214|579:351
8.86|352:215|579:351
8.87|352:215|578:349
8.88|352:215|578:349
8.89|346:217|578:349
8.9|346:217|566:341
8.91|346:217|566:341
8.92|331:215|566:341
8.93|331:215|563:356
8.94|331:215|563:356
8.95|331:215|563:356
8.96|331:215|563:356
8.97|331:215|563:356
8.98|328:218|563:356
8.99|328:218|556:359
9|328:218|556:359
9.01|328:218|556:359
9.02|328:218|556:359
9.03|322:221|556:359
9.04|322:221|550:367
9.05|322:221|550:367
9.06|305:222|550:367
9.07|305:222|543:368
9.08|305:222|543:368
9.09|311:223|543:368
9.1|311:223|537:370
9.11|311:223|537:370
9.12|305:224|537:370
9.13|305:224|527:369
9.14|305:224|527:369
9.15|305:224|527:369
9.16|305:224|526:370
9.17|305:224|526:370
9.18|309:222|526:370
9.19|309:222|519:371
9.2|309:222|519:371
9.21|309:224|519:371
9.22|309:224|511:372
9.23|309:224|511:372
9.24|309:224|511:372
9.25|309:224|511:372
9.26|309:224|511:372
9.27|288:225|511:372
9.28|288:225|504:370
9.29|288:225|504:370
9.3|287:226|504:370
9.31|287:226|496:372
9.32|287:226|496:372
9.33|287:226|496:372
9.34|287:226|496:372
9.35|287:227|496:372
9.36|287:227|496:372
9.37|287:227|490:372
9.38|279:225|490:372
9.39|279:225|487:372
9.4|279:225|487:372
9.41|277:227|487:372
9.42|277:227|477:370
9.43|277:227|477:370
9.44|271:226|477:370
9.45|271:226|470:368
9.46|271:226|470:368
9.47|271:226|470:368
9.48|271:226|470:368
9.49|271:226|470:368
9.5|265:225|470:368
9.51|265:225|464:370
9.52|265:225|464:370
9.53|263:223|464:370
9.54|263:223|458:368
9.55|263:223|458:368
9.56|263:223|458:368
9.57|263:223|458:368
9.58|257:229|458:368
9.59|257:229|453:366
9.6|257:229|453:366
9.61|254:225|453:366
9.62|254:225|446:363
9.63|254:225|446:363
9.64|254:225|446:363
9.65|254:225|446:363
9.66|254:225|446:363
9.67|242:230|446:363
9.68|242:230|442:362
9.69|242:230|442:362
9.7|242:225|442:362
9.71|242:225|434:368
9.72|242:225|434:368
9.73|241:225|434:368
9.74|241:225|423:373
9.75|241:225|423:373
9.76|241:225|423:373
9.77|241:225|423:373
9.78|241:225|423:373
9.79|231:225|416:368
9.8|231:225|416:368
9.81|234:224|416:368
9.82|234:224|409:368
9.83|234:224|409:368
9.84|229:223|409:368
9.85|229:223|402:369
9.86|229:223|402:369
9.87|229:223|402:369
9.88|229:223|402:369
9.89|229:223|402:369
9.9|228:224|402:369
9.91|228:224|396:369
9.92|228:224|396:369
9.93|221:224|396:369
9.94|221:224|389:368
9.95|221:224|389:368
9.96|221:224|389:368
9.97|221:224|389:368
9.98|221:224|389:368
9.99|215:226|389:368
10|215:226|382:368
